明昇壹城,［雨花区-体育新城］劳动东路821号
金港湾,［雨花区-雨花亭］曙光中路100号
莲湖大厦,［雨花区-韶山南路］湘府东路二段459号
侯家塘小区,［雨花区-阿弥岭］芙蓉路
矿业大厦小区,［雨花区-王家冲］南二环二段20号
利璞大厦,［雨花区-雨花亭］万家丽中路三段186号
腾达家园,［雨花区-阿弥岭］万家丽中路一段227号
桃阳小区,［雨花区-洞井铺］万家丽南路一段199号
红星农民新村,［雨花区-红星］韶山南路
德茂公寓,［雨花区-树木岭］韶山南路239号
双银花园,［雨花区-左家塘］阿弥岭路34号
金盆公寓,［雨花区-阿弥岭］芙蓉中路三段437号
宏大山庄,［雨花区-阿弥岭］中意一路644-1号
粟塘小区,［雨花区-雨花周边］曲塘路
东友星座,［雨花区-东塘］劳动中路2号
鄱阳华美佳园,［雨花区-汽车南站］洞和路
科协宿舍,［雨花区-阿弥岭］人民中路308号
鄱阳小区丰畅苑,［雨花区-汽车南站］黑梨路
洞井安置小区,［雨花区-汽车南站］中意一路572号
梦园山庄,［雨花区-时代阳光大道］植物园路
金汇园,［雨花区-万家丽南路］汇金路888号
发改委宿舍,［雨花区-阿弥岭］人民中路
阀门厂宿舍,［雨花区-赤岗冲］红花坡路30号
洞井家园二小区,［雨花区-韶山南路］时代阳光大道
金井馨苑,［雨花区-洞井铺］金海路
乐尚城,［雨花区-树木岭］圭塘路206号
衡器厂宿舍,［雨花区-人民路］人民中路545号
湖南工程机械厂宿舍区,［雨花区-赤岗冲］劳动中路511号
联盟佳苑,［雨花区-汽车南站］花卉大道
洞井一小区,［雨花区-红星］杉木冲路
金井小区,［雨花区-韶山南路］万家丽南路
洪塘佳苑,［雨花区-雨花周边］振华路109号
红粉墙小区,［雨花区-赤岗冲］东二环
亮丽阁公寓,［雨花区-长岭］城南中路71号
交警宿舍,［雨花区-阿弥岭］紫薇路
国中星城,［雨花区-雨花周边］沙湾路89号
湖南省茶叶果品总公司,［雨花区-东塘］劳动中路312号
红花坡电信宿舍,［雨花区-左家塘］赤岗新路21号
粮油公司宿舍,［雨花区-长岭］果茶巷1号
黎郡新宇康景园,［雨花区-体育新城］香樟东路
湖南国际汽车城,［雨花区-汽车南站］韶山南路
御和苑,［雨花区-雨花周边］万家丽中路三段106号
金房玲珑湾,［雨花区-树木岭］香樟路91号
交通医院宿舍,［雨花区-雨花亭］韶山中路698号
量具厂宿舍,［雨花区-沙子塘］劳动中路
湖南广电宿舍,［雨花区-雨花亭］新建西路
黎郡新宇熙春园,［雨花区-阿弥岭］湘天路428号
内配小区,［雨花区-雨花亭］韶山中路
牛串岭小区,［雨花区-赤岗冲］东二环一段151号
黎郡新宇太和园,［雨花区-体育新城］香樟东路
湖南国家税务局宿舍,［雨花区-长岭］梓园路
神农茶都,［雨花区-高桥］民主路
城宇大厦,［雨花区-赤岗冲］劳动中路523号
环境保护研究院小区,［雨花区-雨花区政府］圭香路
雨花区教师村,［雨花区-圭塘］自然岭路283号
地震应急住宅,［雨花区-韶山南路］中意一路326号
黎托安置小区,［雨花区-体育新城］曲塘路
黎托强戒所单位房,［雨花区-雨花区政府］体院路510号
开宇大厦,［雨花区-左家塘］劳动西路355号
官塘公寓,［雨花区-左家塘］车站南路
澧水家园,［雨花区-井湾子］香樟路393号
和平小区,［雨花区-汽车南站］豹塘路
恒福大厦,［雨花区-梓园路］人民中路228号
地质中学宿舍,［雨花区-人民路］人民中路168号
景塘家园,［雨花区-雨花亭］圭塘路100号
九芝公寓,［雨花区-雨花亭］韶山中路351号
林苑,［雨花区-韶山南路］韶山南路1号
大吉小区,［雨花区-雅塘村］自然岭路212号
九芝堂宿舍,［雨花区-雨花亭］韶山中路
大鸿杰座,［雨花区-东塘］雨花路
湖南教育电视台宿舍,［雨花区-雨花亭］新建西路77号
大桥一区,［雨花区-万家丽中路］长沙大道661号
大桥三区,［雨花区-体育新城］石坝路
建安小区,［雨花区-赤岗冲］官塘冲巷14号
第三社会福利院居民楼,［雨花区-韶山南路］香樟路62号
大桥二区,［雨花区-体育新城］古曲南路
车辆段宿舍,［雨花区-左家塘］车站南路766号
桔香苑,［雨花区-桔园小区］湘银巷21号
城市动力,［雨花区-左家塘］韶山北路
合丰安置小区,［雨花区-圭塘］花侯路
圭塘二小区,［雨花区-体育新城］香樟东路
活力社区,［雨花区-长岭］梓园路207号
科技职院宿舍,［雨花区-井湾子］井湾路784号
金邮小区,［雨花区-高桥］东二环1段706号
地矿医院宿舍楼,［雨花区-雨花亭］雨花巷31号
桔园小区卫技新村,［雨花区-桔园小区］桔园路306号
湖南雨花五金机电大市场E区,［雨花区-韶山南路］高升路
工商银行宿舍(左家塘),［雨花区-赤岗冲］曙光中路
成功苑,［雨花区-雨花亭］桔园路129号
金制小区,［雨花区-劳动中路］茶园坡路8号
城市快线,［雨花区-雨花亭］芙蓉中路三段495号
公安局宿舍,［雨花区-曙光路口］曙光中路509号
公安局宿舍,［雨花区-左家塘］城南东路131号
凤凰苑,［雨花区-新星小区］香樟东路
花桥小区,［雨花区-万家丽中路］白沙湾路
高福星小区,［雨花区-高桥］万家丽路
芙佳花园,［雨花区-新星小区］万家丽南路二段27号
京豪大厦,［雨花区-雨花区政府］体院路39号
博远西苑,［雨花区-香樟路］香樟路9号
顺特变压器厂宿舍,［雨花区-劳动中路］劳动东路382号
长沙市公路管理局机关宿舍,［雨花区-雨花亭］新建西路76号
服装公司宿舍,［雨花区-雨花亭］新建西路
福安公寓,［雨花区-长岭］城南中路60号
湖南省中医附一院宿舍,［雨花区-雨花亭］运动巷50号
北冲尾小区,［雨花区-香樟路］香樟路
湖南雨花五金机电大市场A区,［雨花区-洞井铺］高升路
白田安置小区,［雨花区-雨花周边］职教城路68号
湖南雨花五金机电大市场B区,［雨花区-时代阳光大道］高升路
湖南雨花五金机电大市场C区,［雨花区-红星］高升路
白田佳苑,［雨花区-雨花周边］环保东路59号
板塘小区,［雨花区-时代阳光大道］万家丽中路
枫树岸小区,［雨花区-阿弥岭］梓园路445号
枫树山社区,［雨花区-东塘］劳动西路386号
